Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column11	Column12
Aniwa Airport	Aniwa	Vanuatu	AWD	NVVB	-19.2346	169.6009	U	Pacific/Efate
Dillon's Bay Airport	Dillon's Bay	Vanuatu	DLY	NVVD	-18.76939964	169.0010071	U	Pacific/Efate
Futuna Airport	Futuna Island	Vanuatu	FTA	NVVF	-19.51639938	170.2319946	U	Pacific/Efate
Ipota Airport	Ipota	Vanuatu	IPA	NVVI	-18.856389	169.283333	U	Pacific/Efate
Bauerfield International Airport	Port-vila	Vanuatu	VLI	NVVV	-17.69930077	168.3200073	U	Pacific/Efate
Tanna Airport	Tanna	Vanuatu	TAH	NVVW	-19.45509911	169.223999	U	Pacific/Efate
Tiga Airport	Tiga	New Caledonia	TGJ	NWWA	-21.09609985	167.8040009	U	Pacific/Noumea
Île Art - Waala Airport	Waala	New Caledonia	BMY	NWWC	-19.72060013	163.6609955	U	Pacific/Noumea
Koné Airport	Kone	New Caledonia	KNQ	NWWD	-21.05430031	164.8370056	U	Pacific/Noumea
Île des Pins Airport	Île des Pins	New Caledonia	ILP	NWWE	-22.58889961	167.4559937	U	Pacific/Noumea
Koumac Airport	Koumac	New Caledonia	KOC	NWWK	-20.54630089	164.2559967	U	Pacific/Noumea
Lifou Airport	Lifou	New Caledonia	LIF	NWWL	-20.77479935	167.2400055	U	Pacific/Noumea
Nouméa Magenta Airport	Noumea	New Caledonia	GEA	NWWM	-22.25830078	166.4730072	U	Pacific/Noumea
Maré Airport	Mare	New Caledonia	MEE	NWWR	-21.4817009	168.0379944	U	Pacific/Noumea
Touho Airport	Touho	New Caledonia	TOU	NWWU	-20.79000092	165.2590027	U	Pacific/Noumea
Ouvéa Airport	Ouvea	New Caledonia	UVE	NWWV	-20.6406002	166.572998	U	Pacific/Noumea
La Tontouta International Airport	Noumea	New Caledonia	NOU	NWWW	-22.01460075	166.2129974	U	Pacific/Noumea
Old Rhinebeck Airport	Rhinebeck	United States	\N	NY94	41.9715004	-73.86289978	U	America/New_York
Auckland International Airport	Auckland	New Zealand	AKL	NZAA	-37.0080986	174.7920074	Z	Pacific/Auckland
Taupo Airport	Taupo	New Zealand	TUO	NZAP	-38.73970032	176.0839996	Z	Pacific/Auckland
Ardmore Airport	Ardmore	New Zealand	AMZ	NZAR	-37.02970123	174.9730072	Z	Pacific/Auckland
Christchurch International Airport	Christchurch	New Zealand	CHC	NZCH	-43.48939896	172.5319977	Z	Pacific/Auckland
Chatham Islands-Tuuta Airport	Chatham Island	New Zealand	CHT	NZCI	-43.81000137	-176.4570007	Z	Pacific/Chatham
Dunedin Airport	Dunedin	New Zealand	DUD	NZDN	-45.92810059	170.197998	Z	Pacific/Auckland
Great Barrier Aerodrome	Claris	New Zealand	GBZ	NZGB	-36.24140167	175.4720001	Z	Pacific/Auckland
Glacier Country Heliport	Franz Josef	New Zealand	\N	NZGH	-43.38722	170.18	Z	\N
Gisborne Airport	Gisborne	New Zealand	GIS	NZGS	-38.66329956	177.9779968	Z	Pacific/Auckland
Glentanner Airport	Glentanner	New Zealand	GTN	NZGT	-43.90670013	170.128006	Z	Pacific/Auckland
Hokitika Airfield	Hokitika	New Zealand	HKK	NZHK	-42.71360016	170.9850006	Z	Pacific/Auckland
Hamilton International Airport	Hamilton	New Zealand	HLZ	NZHN	-37.86669922	175.3320007	Z	Pacific/Auckland
Hastings Aerodrome	Hastings	New Zealand	\N	NZHS	-39.646702	176.766998	Z	Pacific/Auckland
Haast Aerodrome	Haast	New Zealand	\N	NZHT	-43.86529922	169.0410004	Z	\N
McMurdo Station Ice Runway	Ross Island	Antarctica	\N	NZIR	-77.85399628	166.4689941	N	Antarctica/South_Pole
Waiheke Reeve Airport	Waiheke Island	New Zealand	WIK	NZKE	-36.80889893	175.0859985	Z	\N
Kaikoura Airport	Kaikoura	New Zealand	KBZ	NZKI	-42.42499924	173.6049957	Z	Pacific/Auckland
Kerikeri Airport	Kerikeri	New Zealand	KKE	NZKK	-35.26279831	173.9120026	Z	Pacific/Auckland
Karamea Airport	Karamea	New Zealand	\N	NZKM	-41.23669815	172.1049957	Z	\N
Kaitaia Airport	Kaitaia	New Zealand	KAT	NZKT	-35.06999969	173.2850037	Z	Pacific/Auckland
Alexandra Airport	Alexandra	New Zealand	ALR	NZLX	-45.21170044	169.3730011	Z	Pacific/Auckland
Mount Cook Airport	Mount Cook	New Zealand	MON	NZMC	-43.76499939	170.1329956	Z	Pacific/Auckland
Milford Sound Airport	Milford Sound	New Zealand	MFN	NZMF	-44.6733017	167.9230042	Z	Pacific/Auckland
Motueka Airport	Motueka	New Zealand	MZP	NZMK	-41.12329865	172.9889984	Z	Pacific/Auckland
Manapouri Airport	Manapouri	New Zealand	TEU	NZMO	-45.53310013	167.6499939	Z	Pacific/Auckland
Hood Airport	Masterton	New Zealand	MRO	NZMS	-40.97330093	175.6340027	Z	Pacific/Auckland
North Shore Aerodrome	North Shore	New Zealand	\N	NZNE	-36.65670013	174.6549988	Z	\N
New Plymouth Airport	New Plymouth	New Zealand	NPL	NZNP	-39.00859833	174.1790009	Z	Pacific/Auckland
Hawke's Bay Airport	NAPIER	New Zealand	NPE	NZNR	-39.465801	176.869995	Z	Pacific/Auckland
Nelson Airport	Nelson	New Zealand	NSN	NZNS	-41.2983017	173.220993	Z	Pacific/Auckland
Invercargill Airport	Invercargill	New Zealand	IVC	NZNV	-46.41239929	168.3130035	Z	Pacific/Auckland
Omarama Glider Airport	Omarama	New Zealand	\N	NZOA	-44.48669815	169.9859924	Z	\N
